wavelength,reflectance
350,0.892735997
351,0.893448461
352,0.894160273
353,0.894871431
354,0.895581936
355,0.896291789
356,0.897000988
357,0.897709534
358,0.898417428
359,0.899124669
360,0.899831256
361,0.900537191
362,0.901242473
363,0.901947101
364,0.902651077
365,0.9033544
366,0.90405707
367,0.904759087
368,0.905460451
369,0.906161162
370,0.906861221
371,0.907560626
372,0.908259378
373,0.908957477
374,0.909654924
375,0.91076357
376,0.91153272
377,0.912272803
378,0.913000039
379,0.913739355
380,0.914477508
381,0.915209805
382,0.915901192
383,0.91658027
384,0.917290576
385,0.917994545
386,0.91865375
387,0.919296637
388,0.919954144
389,0.920618748
390,0.921263939
391,0.921874572
392,0.922463491
393,0.923044207
394,0.92362552
395,0.924184604
396,0.924711312
397,0.925237164
398,0.925762892
399,0.926274471
400,0.926808414
401,0.927356937
402,0.927885983
403,0.928373917
404,0.928842702
405,0.929315897
406,0.929774067
407,0.930197706
408,0.930641217
409,0.931094767
410,0.931528191
411,0.93193715
412,0.932348036
413,0.932766732
414,0.933169299
415,0.933564212
416,0.933967164
417,0.934381164
418,0.934803562
419,0.935224488
420,0.935632001
421,0.936026708
422,0.936403696
423,0.93677819
424,0.937158652
425,0.937543135
426,0.937919288
427,0.938303832
428,0.938689267
429,0.939052959
430,0.939410354
431,0.939766842
432,0.940128804
433,0.940500613
434,0.940858509
435,0.941202687
436,0.941547011
437,0.941888579
438,0.942228589
439,0.942563104
440,0.942885893
441,0.943204255
442,0.943520458
443,0.943832517
444,0.944128597
445,0.944420265
446,0.944711334
447,0.944998815
448,0.945273373
449,0.945543533
450,0.945810689
451,0.946066148
452,0.946314317
453,0.946559893
454,0.946801272
455,0.947028879
456,0.947252073
457,0.94747201
458,0.947687978
459,0.947895724
460,0.948095521
461,0.94829424
462,0.948495508
463,0.948685259
464,0.948866634
465,0.949045678
466,0.949225129
467,0.949407756
468,0.949585353
469,0.949752598
470,0.94991997
471,0.950087787
472,0.950252946
473,0.950418346
474,0.950585392
475,0.950749584
476,0.950908175
477,0.951065073
478,0.951225482
479,0.951388987
480,0.951554043
481,0.951719465
482,0.951884933
483,0.952049596
484,0.952212353
485,0.952376485
486,0.952539859
487,0.952702078
488,0.952866563
489,0.953031637
490,0.953195062
491,0.953354955
492,0.953516239
493,0.953680433
494,0.953844991
495,0.954008782
496,0.954172574
497,0.954333984
498,0.954493501
499,0.954654165
500,0.954813125
501,0.954969775
502,0.95512503
503,0.955280195
504,0.955435604
505,0.955589671
506,0.9557415
507,0.955892514
508,0.956042268
509,0.956189033
510,0.956334363
511,0.95647749
512,0.95661909
513,0.956759566
514,0.956899124
515,0.957036979
516,0.957172592
517,0.957304923
518,0.95743396
519,0.957562031
520,0.957690572
521,0.957817991
522,0.957946575
523,0.958075612
524,0.958201892
525,0.958326459
526,0.958451133
527,0.958576322
528,0.958698503
529,0.958817514
530,0.958935258
531,0.959052998
532,0.959169386
533,0.959283382
534,0.959394478
535,0.959503801
536,0.959612803
537,0.959721314
538,0.959828391
539,0.959933794
540,0.960037663
541,0.960140536
542,0.960243132
543,0.960342861
544,0.960441822
545,0.960540128
546,0.960636027
547,0.960730817
548,0.96082507
549,0.960918935
550,0.961012552
551,0.961104055
552,0.961194771
553,0.961285648
554,0.961373548
555,0.961459106
556,0.961543793
557,0.961628426
558,0.961710961
559,0.961790879
560,0.96186969
561,0.961949331
562,0.962028029
563,0.962105717
564,0.962182769
565,0.962258078
566,0.962332634
567,0.962407314
568,0.962483222
569,0.962558541
570,0.962632812
571,0.962705674
572,0.962777414
573,0.962848657
574,0.962919837
575,0.962990968
576,0.963062689
577,0.96313433
578,0.963204731
579,0.963274141
580,0.963343206
581,0.963411813
582,0.963480321
583,0.96354931
584,0.96361966
585,0.963690704
586,0.963760649
587,0.963830647
588,0.963900828
589,0.96397176
590,0.964043165
591,0.964115769
592,0.964189499
593,0.964264246
594,0.964339493
595,0.964415195
596,0.964492555
597,0.964572573
598,0.964654
599,0.964735997
600,0.964818016
601,0.964901417
602,0.964986013
603,0.965071274
604,0.965158591
605,0.965247676
606,0.965338639
607,0.965431293
608,0.965525541
609,0.965621637
610,0.9657204
611,0.965821147
612,0.965922455
613,0.966023568
614,0.966124013
615,0.966225797
616,0.966328822
617,0.966433233
618,0.966539013
619,0.966646257
620,0.966755875
621,0.966867047
622,0.966979013
623,0.96709137
624,0.967203161
625,0.967315654
626,0.967430881
627,0.967545542
628,0.967658811
629,0.967771581
630,0.967884524
631,0.967996943
632,0.968109909
633,0.968223892
634,0.968336853
635,0.96844921
636,0.968561979
637,0.968673713
638,0.968785492
639,0.968897563
640,0.969008892
641,0.96911851
642,0.96922697
643,0.969335466
644,0.969443912
645,0.96955333
646,0.969660958
647,0.969764997
648,0.969868015
649,0.969969692
650,0.970070822
651,0.970172298
652,0.970272293
653,0.970370348
654,0.970466579
655,0.970561275
656,0.970655001
657,0.970747496
658,0.970839
659,0.970929921
660,0.971017565
661,0.971101549
662,0.971184701
663,0.971265931
664,0.971346858
665,0.971428008
666,0.971507937
667,0.971586136
668,0.971662971
669,0.971739477
670,0.971813133
671,0.971885387
672,0.971956741
673,0.972026581
674,0.97209682
675,0.972165904
676,0.972230619
677,0.972293676
678,0.972356756
679,0.972419701
680,0.972481107
681,0.972542025
682,0.972602427
683,0.972661073
684,0.972719131
685,0.972777614
686,0.972835751
687,0.97289327
688,0.972949757
689,0.973004386
690,0.973058261
691,0.9731123
692,0.973165856
693,0.973219177
694,0.973271838
695,0.97332235
696,0.973372706
697,0.973424104
698,0.973475435
699,0.973527827
700,0.973579699
701,0.973630252
702,0.973680893
703,0.973732164
704,0.973783246
705,0.973834551
706,0.973886059
707,0.973937996
708,0.973989669
709,0.974040471
710,0.974092196
711,0.974143838
712,0.974194632
713,0.974246303
714,0.974297591
715,0.9743473
716,0.974396606
717,0.97444609
718,0.97449612
719,0.974546227
720,0.974596858
721,0.974645982
722,0.974693596
723,0.974741284
724,0.974788878
725,0.974836731
726,0.974884687
727,0.974932282
728,0.974978976
729,0.975025139
730,0.975071337
731,0.975117819
732,0.975163954
733,0.975209396
734,0.975254376
735,0.975298062
736,0.975340949
737,0.975383615
738,0.975424924
739,0.975465196
740,0.975505055
741,0.975544196
742,0.975583412
743,0.975622221
744,0.97566084
745,0.975698563
746,0.975734833
747,0.975770009
748,0.97580453
749,0.975837648
750,0.97586987
751,0.975901249
752,0.97593164
753,0.975961108
754,0.975991114
755,0.976021407
756,0.976050376
757,0.976077284
758,0.97610298
759,0.976127792
760,0.976151089
761,0.976173434
762,0.976194832
763,0.976214986
764,0.976234742
765,0.976255274
766,0.976274961
767,0.976293565
768,0.976310976
769,0.976328181
770,0.976345691
771,0.976363281
772,0.976380941
773,0.976398915
774,0.976417624
775,0.976435796
776,0.976452706
777,0.976469023
778,0.976485707
779,0.976502761
780,0.976519919
781,0.976537372
782,0.976555748
783,0.976575149
784,0.976594698
785,0.976613509
786,0.976632802
787,0.976652478
788,0.976672359
789,0.976694283
790,0.976717888
791,0.976742352
792,0.976766217
793,0.976790219
794,0.976813939
795,0.976837821
796,0.976862492
797,0.976888515
798,0.976915365
799,0.97694293
800,0.976971751
801,0.977001071
802,0.977030363
803,0.977059662
804,0.977088908
805,0.977119124
806,0.977151078
807,0.977184192
808,0.977218531
809,0.977253335
810,0.977288109
811,0.97732317
812,0.97735928
813,0.97739692
814,0.977434944
815,0.977472055
816,0.977509741
817,0.977548194
818,0.977587243
819,0.977626232
820,0.977665146
821,0.977704887
822,0.977746109
823,0.977788226
824,0.977828968
825,0.97786845
826,0.977908272
827,0.977949555
828,0.97799164
829,0.97803349
830,0.978074388
831,0.978115636
832,0.978157089
833,0.978197551
834,0.97823535
835,0.978274108
836,0.978313726
837,0.978352932
838,0.978391732
839,0.978430169
840,0.978467715
841,0.978503905
842,0.978539573
843,0.978573407
844,0.978605689
845,0.978638012
846,0.978670411
847,0.978702608
848,0.978734148
849,0.978764332
850,0.978793022
851,0.978820933
852,0.978847716
853,0.978871925
854,0.978895731
855,0.978919757
856,0.978943536
857,0.978966067
858,0.978986166
859,0.979003967
860,0.979020618
861,0.979037658
862,0.979054519
863,0.979069784
864,0.979083097
865,0.979097289
866,0.979112349
867,0.979127927
868,0.979143554
869,0.979158307
870,0.979171997
871,0.979184396
872,0.979195363
873,0.97920602
874,0.979216763
875,0.979228005
876,0.979239464
877,0.97924867
878,0.979256607
879,0.979265334
880,0.979276139
881,0.979286338
882,0.979294427
883,0.979301275
884,0.979310195
885,0.979319507
886,0.979328232
887,0.979336906
888,0.979346284
889,0.97935506
890,0.979362069
891,0.979368269
892,0.979376009
893,0.979384538
894,0.979392784
895,0.979400259
896,0.979409088
897,0.97941694
898,0.979423026
899,0.979428317
900,0.979433335
901,0.979437577
902,0.979441259
903,0.979446402
904,0.97945264
905,0.979456674
906,0.979458537
907,0.979460691
908,0.979463911
909,0.979469048
910,0.979476269
911,0.979483873
912,0.979490644
913,0.979498502
914,0.979507979
915,0.979516608
916,0.979524968
917,0.979531467
918,0.979536274
919,0.979540926
920,0.979545348
921,0.979551291
922,0.979558415
923,0.979564821
924,0.979571582
925,0.979579509
926,0.979586411
927,0.97959287
928,0.979600762
929,0.979608524
930,0.979614876
931,0.979620814
932,0.979628224
933,0.979638174
934,0.979648223
935,0.979656357
936,0.97966352
937,0.979670208
938,0.979676151
939,0.979681258
940,0.979686535
941,0.979692517
942,0.979698179
943,0.979705035
944,0.979712997
945,0.979719686
946,0.97972522
947,0.979731327
948,0.979736048
949,0.979742124
950,0.979748046
951,0.979752833
952,0.979757067
953,0.979762974
954,0.979767967
955,0.979773889
956,0.979781841
957,0.979789304
958,0.979796789
959,0.979805259
960,0.97981357
961,0.97981589
962,0.97982053
963,0.979827924
964,0.97983533
965,0.979843945
966,0.979851548
967,0.979859231
968,0.979867005
969,0.979874104
970,0.97988238
971,0.97988991
972,0.979897069
973,0.979906133
974,0.979911943
975,0.979916418
976,0.979921916
977,0.979928912
978,0.979935543
979,0.979942202
980,0.979949314
981,0.979956486
982,0.979962766
983,0.979966563
984,0.979969237
985,0.979972935
986,0.979976768
987,0.979980169
988,0.979983955
989,0.9799889
990,0.979995264
991,0.980002403
992,0.980008974
993,0.980014385
994,0.980019416
995,0.98002616
996,0.980032891
997,0.980038624
998,0.980046221
999,0.980053223
1000,0.980059538
1001,0.980066451
1002,0.980074731
1003,0.980082483
1004,0.98009078
1005,0.980099485
1006,0.980107715
1007,0.980116954
1008,0.980126974
1009,0.980135988
1010,0.980144228
1011,0.980158508
1012,0.980172629
1013,0.980184615
1014,0.980196714
1015,0.980207509
1016,0.980217887
1017,0.980228477
1018,0.98023973
1019,0.980252064
1020,0.980264068
1021,0.980276198
1022,0.98028832
1023,0.980298291
1024,0.980310353
1025,0.980322431
1026,0.980334343
1027,0.980347183
1028,0.980360649
1029,0.98037388
1030,0.980386842
1031,0.980399504
1032,0.980411146
1033,0.980422657
1034,0.980434331
1035,0.980445923
1036,0.980457144
1037,0.980468276
1038,0.980479064
1039,0.980489499
1040,0.980499867
1041,0.980510293
1042,0.980520318
1043,0.980530005
1044,0.980539689
1045,0.980549322
1046,0.980558625
1047,0.980567961
1048,0.980577363
1049,0.980586376
1050,0.980595518
1051,0.980605008
1052,0.980615099
1053,0.980625299
1054,0.980635261
1055,0.980645156
1056,0.980654366
1057,0.980663129
1058,0.980671678
1059,0.98068034
1060,0.980689397
1061,0.980699009
1062,0.980709119
1063,0.980719624
1064,0.980730375
1065,0.980741458
1066,0.98075294
1067,0.980764769
1068,0.980776589
1069,0.980787949
1070,0.980799374
1071,0.980811289
1072,0.980823599
1073,0.980836484
1074,0.980850365
1075,0.980864687
1076,0.980879022
1077,0.980893096
1078,0.980906821
1079,0.980920397
1080,0.98093356
1081,0.980946546
1082,0.980959969
1083,0.980973161
1084,0.980986085
1085,0.980998696
1086,0.981011354
1087,0.981023836
1088,0.981036216
1089,0.981048853
1090,0.981061136
1091,0.98107225
1092,0.981083155
1093,0.981093966
1094,0.981104692
1095,0.981115848
1096,0.981127422
1097,0.981139232
1098,0.981151046
1099,0.981162829
1100,0.981174388
1101,0.981185533
1102,0.981195708
1103,0.981205389
1104,0.981215009
1105,0.98122425
1106,0.981233499
1107,0.981242642
1108,0.981251258
1109,0.981259723
1110,0.981268066
1111,0.981276149
1112,0.981284057
1113,0.981291749
1114,0.981299049
1115,0.981305963
1116,0.981312719
1117,0.981319313
1118,0.981325844
1119,0.981332933
1120,0.981340229
1121,0.981347336
1122,0.981354504
1123,0.981361509
1124,0.981368142
1125,0.981374647
1126,0.981380837
1127,0.981386484
1128,0.98139155
1129,0.981396233
1130,0.981400644
1131,0.98140488
1132,0.981408898
1133,0.981412415
1134,0.981415476
1135,0.981417862
1136,0.981419368
1137,0.981420108
1138,0.981420183
1139,0.981419145
1140,0.981417155
1141,0.981414988
1142,0.981412239
1143,0.981408692
1144,0.981404567
1145,0.981399757
1146,0.981393904
1147,0.981386967
1148,0.981379211
1149,0.981370673
1150,0.981361301
1151,0.981351229
1152,0.981340414
1153,0.981328416
1154,0.981315221
1155,0.98130106
1156,0.981285863
1157,0.981269956
1158,0.981253644
1159,0.981236752
1160,0.981219321
1161,0.981201311
1162,0.981182593
1163,0.981163321
1164,0.981143594
1165,0.981123463
1166,0.981103165
1167,0.981082805
1168,0.981062275
1169,0.98104143
1170,0.981020634
1171,0.980999902
1172,0.980979017
1173,0.98095827
1174,0.98093763
1175,0.980916976
1176,0.980896486
1177,0.980876452
1178,0.980856811
1179,0.980837545
1180,0.980818788
1181,0.980800425
1182,0.980782143
1183,0.980764098
1184,0.980746295
1185,0.980728747
1186,0.980711641
1187,0.980695056
1188,0.980678791
1189,0.980663042
1190,0.980648002
1191,0.980633644
1192,0.980619858
1193,0.980606802
1194,0.98059426
1195,0.980582231
1196,0.980570679
1197,0.980560023
1198,0.980550304
1199,0.980541469
1200,0.980533619
1201,0.980526594
1202,0.980520593
1203,0.980515869
1204,0.980512224
1205,0.980509707
1206,0.980508303
1207,0.98050783
1208,0.980508253
1209,0.980509679
1210,0.980511926
1211,0.980515289
1212,0.980519903
1213,0.980525758
1214,0.980532809
1215,0.980540957
1216,0.980549826
1217,0.980559271
1218,0.980569333
1219,0.980579894
1220,0.980590756
1221,0.980601965
1222,0.980613724
1223,0.980625849
1224,0.980638366
1225,0.980651287
1226,0.980664364
1227,0.980677442
1228,0.980690582
1229,0.980703763
1230,0.980716886
1231,0.980729678
1232,0.980742072
1233,0.980754095
1234,0.98076553
1235,0.980776546
1236,0.980787291
1237,0.980797148
1238,0.98080593
1239,0.980813698
1240,0.980820325
1241,0.980825737
1242,0.9808301
1243,0.980833509
1244,0.980835974
1245,0.980837634
1246,0.980838842
1247,0.980839433
1248,0.980839034
1249,0.980837763
1250,0.980835653
1251,0.980832692
1252,0.98082895
1253,0.980824654
1254,0.98081962
1255,0.980813651
1256,0.980807041
1257,0.980799895
1258,0.98079233
1259,0.980784296
1260,0.980776058
1261,0.980767678
1262,0.980758982
1263,0.980749929
1264,0.980740479
1265,0.98073035
1266,0.980719835
1267,0.980709142
1268,0.980698321
1269,0.980687333
1270,0.980676294
1271,0.980665019
1272,0.980653272
1273,0.980641422
1274,0.980629414
1275,0.980617233
1276,0.9806051
1277,0.980593001
1278,0.9805809
1279,0.980568629
1280,0.980556018
1281,0.980543384
1282,0.98053067
1283,0.980517938
1284,0.980505475
1285,0.980493132
1286,0.980480381
1287,0.980467599
1288,0.980454804
1289,0.980441914
1290,0.980429168
1291,0.980416571
1292,0.980404019
1293,0.980391659
1294,0.980379185
1295,0.980366345
1296,0.980352953
1297,0.980338793
1298,0.980324192
1299,0.980309059
1300,0.980293428
1301,0.980277322
1302,0.980260972
1303,0.980244304
1304,0.980227563
1305,0.980211216
1306,0.980194955
1307,0.980178694
1308,0.980162398
1309,0.980146164
1310,0.980129776
1311,0.980112994
1312,0.980095895
1313,0.980078265
1314,0.980060051
1315,0.980041823
1316,0.980023561
1317,0.980005275
1318,0.979986993
1319,0.979968831
1320,0.979950689
1321,0.979932895
1322,0.979915824
1323,0.979899281
1324,0.979883372
1325,0.979867983
1326,0.979852946
1327,0.979838321
1328,0.979823972
1329,0.979809985
1330,0.979796429
1331,0.97978318
1332,0.979770435
1333,0.979757946
1334,0.979745528
1335,0.97973318
1336,0.979720715
1337,0.979707833
1338,0.979694783
1339,0.979681392
1340,0.979667745
1341,0.97965395
1342,0.979639728
1343,0.979624775
1344,0.979609227
1345,0.97959292
1346,0.979576238
1347,0.979559473
1348,0.979542633
1349,0.979525935
1350,0.979509391
1351,0.979493081
1352,0.979476809
1353,0.979460484
1354,0.979444051
1355,0.979427148
1356,0.979409724
1357,0.979391948
1358,0.979373745
1359,0.979354934
1360,0.979335507
1361,0.979315792
1362,0.979295737
1363,0.979275778
1364,0.979256477
1365,0.979237657
1366,0.979219361
1367,0.979201709
1368,0.979184757
1369,0.979168516
1370,0.979153018
1371,0.979138254
1372,0.979124199
1373,0.979110827
1374,0.979098079
1375,0.97908603
1376,0.97907448
1377,0.979063329
1378,0.979052559
1379,0.979042197
1380,0.979032562
1381,0.979023747
1382,0.97901568
1383,0.979008518
1384,0.979002223
1385,0.97899665
1386,0.978991957
1387,0.978988364
1388,0.978985854
1389,0.97898461
1390,0.978984438
1391,0.97898522
1392,0.97898691
1393,0.978989337
1394,0.978992674
1395,0.978997234
1396,0.979002826
1397,0.979009278
1398,0.979016767
1399,0.979025301
1400,0.979034664
1401,0.979044806
1402,0.979055673
1403,0.979066825
1404,0.979078119
1405,0.979089796
1406,0.979101948
1407,0.979114559
1408,0.97912792
1409,0.979142231
1410,0.979157659
1411,0.979174265
1412,0.979192347
1413,0.979211855
1414,0.979232711
1415,0.97925497
1416,0.979278708
1417,0.979303789
1418,0.979330025
1419,0.979357519
1420,0.979386286
1421,0.979416117
1422,0.979447036
1423,0.979478702
1424,0.979510816
1425,0.979543294
1426,0.979576164
1427,0.979609535
1428,0.97964352
1429,0.979678097
1430,0.979713003
1431,0.979748023
1432,0.979783094
1433,0.979818109
1434,0.979852911
1435,0.979887365
1436,0.979921558
1437,0.979955394
1438,0.9799887
1439,0.980021387
1440,0.980053103
1441,0.980083376
1442,0.980112339
1443,0.980140068
